2026-05-23 12:45:43,942 | INFO | Nifty 100 Daily EMA Cross Reporter | Version 3.3.8 | Released 2026-04-17
2026-05-23 12:45:43,942 | INFO | Base directory: /home/runner/work/nifty100-reporter/nifty100-reporter
2026-05-23 12:45:43,942 | INFO | Loaded config. Email enabled: True | Recipients: 1
2026-05-23 12:45:44,009 | WARNING | NSE session bootstrap HTTP 403 (attempt 1/5) — refreshing NSE session cookie …
2026-05-23 12:45:54,175 | WARNING | NSE session bootstrap HTTP 403 (attempt 2/5) — refreshing NSE session cookie …
2026-05-23 12:46:04,341 | WARNING | NSE session bootstrap HTTP 403 (attempt 3/5) — refreshing NSE session cookie …
2026-05-23 12:46:14,458 | WARNING | NSE session bootstrap HTTP 403 (attempt 4/5) — refreshing NSE session cookie …
2026-05-23 12:46:24,613 | INFO | NSE session bootstrap status: 403
2026-05-23 12:46:24,613 | INFO | Downloading Nifty 100 universe from https://www.niftyindices.com/IndexConstituent/ind_nifty100list.csv
2026-05-23 12:46:25,014 | INFO | Universe download status: 200
2026-05-23 12:46:25,020 | INFO | Universe rows loaded: 104
2026-05-23 12:46:25,125 | INFO | Loaded history rows: 127864
2026-05-23 12:46:25,132 | INFO | yfinance history update: 104 symbols | 2026-05-21 → 2026-05-24
2026-05-23 12:46:25,133 | INFO | yfinance batch download: 104 symbols | 2026-05-21 → 2026-05-24
2026-05-23 12:46:25,134 | INFO | Failed to create TzCache, reason: Error creating TzCache folder: '/home/runner/.cache/py-yfinance' reason: [Errno 17] File exists: '/home/runner/.cache/py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2026-05-23 12:46:25,883 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: DUMMYVEDL1.NS"}}}
2026-05-23 12:46:25,959 | ERROR | $DUMMYVEDL1.NS: possibly delisted; no timezone found
2026-05-23 12:46:27,019 | ERROR | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: DUMMYVEDL2.NS"}}}
2026-05-23 12:46:27,021 | ERROR | $DUMMYVEDL4.NS: possibly delisted; no timezone found
2026-05-23 12:46:27,092 | ERROR | $DUMMYVEDL2.NS: possibly delisted; no timezone found
2026-05-23 12:46:28,546 | ERROR | $DUMMYVEDL3.NS: possibly delisted; no timezone found
2026-05-23 12:46:29,805 | ERROR | 
4 Failed downloads:
2026-05-23 12:46:29,805 | ERROR | ['DUMMYVEDL1.NS', 'DUMMYVEDL4.NS', 'DUMMYVEDL2.NS', 'DUMMYVEDL3.NS']: possibly delisted; no timezone found
2026-05-23 12:46:29,822 | INFO | yfinance raw shape: (2, 524)
2026-05-23 12:46:30,168 | INFO | yfinance parsed rows after date-filter: 200
2026-05-23 12:46:30,169 | INFO | New rows from yfinance: 200
2026-05-23 12:46:30,958 | INFO | Saved history rows: 127864 | file: /home/runner/work/nifty100-reporter/nifty100-reporter/data/nifty100_ohlcv_history.csv
2026-05-23 12:46:31,067 | INFO | Loaded history rows: 127864
2026-05-23 12:46:31,068 | INFO | Latest OHLCV data is from 2026-05-22
2026-05-23 12:46:31,096 | INFO | Latest Delivery data is from 2026-05-22
2026-05-23 12:46:31,143 | INFO | Delivery cache has 34 dates — skipping backfill.
2026-05-23 12:46:31,143 | INFO | Delivery fetch attempt [1/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_22052026.csv
2026-05-23 12:46:31,804 | INFO | Delivery fetch SUCCESS — date: 2026-05-22 | size: 366835 bytes | URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_22052026.csv
2026-05-23 12:46:32,173 | INFO | Delivery cache updated: 2462 symbols for 2026-05-22 (rows in cache: 83591)
2026-05-23 12:46:32,173 | INFO | Delivery data: 2462 symbols | fallback=False
2026-05-23 12:46:52,222 | WARNING | NSE corp-actions bulk fetch failed (attempt 1/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-05-23 12:47:17,309 | WARNING | NSE corp-actions bulk fetch failed (attempt 2/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-05-23 12:47:42,360 | WARNING | NSE corp-actions bulk fetch failed (attempt 3/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-05-23 12:48:07,469 | WARNING | NSE corp-actions bulk fetch failed (attempt 4/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
