2026-07-20 12:45:57,738 | INFO | Nifty 100 Daily EMA Cross Reporter | Version 3.3.8 | Released 2026-04-17
2026-07-20 12:45:57,738 | INFO | Base directory: /home/runner/work/nifty100-reporter/nifty100-reporter
2026-07-20 12:45:57,738 | INFO | Loaded config. Email enabled: True | Recipients: 1
2026-07-20 12:45:57,849 | WARNING | NSE session bootstrap HTTP 403 (attempt 1/5) — refreshing NSE session cookie …
2026-07-20 12:46:08,673 | INFO | NSE session bootstrap status: 200
2026-07-20 12:46:08,674 | INFO | Downloading Nifty 100 universe from https://www.niftyindices.com/IndexConstituent/ind_nifty100list.csv
2026-07-20 12:46:09,098 | INFO | Universe download status: 200
2026-07-20 12:46:09,103 | INFO | Universe rows loaded: 100
2026-07-20 12:46:09,213 | INFO | Loaded history rows: 131754
2026-07-20 12:46:09,222 | INFO | yfinance history update: 100 symbols | 2026-07-16 → 2026-07-21
2026-07-20 12:46:09,222 | INFO | yfinance batch download: 100 symbols | 2026-07-16 → 2026-07-21
2026-07-20 12:46:20,480 | INFO | yfinance raw shape: (3, 500)
2026-07-20 12:46:20,886 | INFO | yfinance parsed rows after date-filter: 300
2026-07-20 12:46:20,887 | INFO | New rows from yfinance: 300
2026-07-20 12:46:21,665 | INFO | Saved history rows: 131854 | file: /home/runner/work/nifty100-reporter/nifty100-reporter/data/nifty100_ohlcv_history.csv
2026-07-20 12:46:21,781 | INFO | Loaded history rows: 131854
2026-07-20 12:46:21,782 | INFO | Latest OHLCV data is from 2026-07-20
2026-07-20 12:46:21,814 | INFO | Latest Delivery data is from 2026-07-17
2026-07-20 12:46:21,864 | INFO | Delivery cache has 33 dates — skipping backfill.
2026-07-20 12:46:21,864 | INFO | Delivery fetch attempt [0/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_20072026.csv
2026-07-20 12:46:22,516 | INFO | Delivery fetch SUCCESS — date: 2026-07-20 | size: 368145 bytes | URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_20072026.csv
2026-07-20 12:46:22,880 | INFO | Delivery cache updated: 2383 symbols for 2026-07-20 (rows in cache: 74574)
2026-07-20 12:46:22,881 | INFO | Delivery data: 2383 symbols | fallback=False
2026-07-20 12:46:42,903 | WARNING | NSE corp-actions bulk fetch failed (attempt 1/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-20 12:47:08,005 | WARNING | NSE corp-actions bulk fetch failed (attempt 2/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-20 12:47:33,086 | WARNING | NSE corp-actions bulk fetch failed (attempt 3/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-20 12:47:58,194 | WARNING | NSE corp-actions bulk fetch failed (attempt 4/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-20 12:48:23,259 | ERROR | NSE corp-actions bulk fetch failed after 5 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20)
2026-07-20 12:48:23,259 | WARNING | Corporate actions bulk fetch failed: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20)
2026-07-20 12:48:38,357 | WARNING | NSE corp-actions ABB fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:48:58,673 | WARNING | NSE corp-actions ADANIENSOL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:49:19,035 | WARNING | NSE corp-actions ADANIENT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:49:39,380 | WARNING | NSE corp-actions ADANIGREEN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:49:59,968 | WARNING | NSE corp-actions ADANIPORTS fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:50:20,016 | WARNING | NSE corp-actions ADANIPORTS fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:50:40,327 | WARNING | NSE corp-actions ADANIPOWER fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:51:00,649 | WARNING | NSE corp-actions AMBUJACEM fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:51:21,035 | WARNING | NSE corp-actions APOLLOHOSP fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:51:41,448 | WARNING | NSE corp-actions ASIANPAINT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:52:01,509 | WARNING | NSE corp-actions ASIANPAINT fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:52:21,737 | WARNING | NSE corp-actions AXISBANK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:52:41,837 | WARNING | NSE corp-actions AXISBANK fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:53:01,944 | WARNING | NSE corp-actions BAJAJ-AUTO fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:53:22,426 | WARNING | NSE corp-actions BAJAJFINSV fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:53:42,797 | WARNING | NSE corp-actions BAJAJHLDNG fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:54:03,142 | WARNING | NSE corp-actions BAJFINANCE fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:54:24,109 | WARNING | NSE corp-actions BANKBARODA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:54:44,168 | WARNING | NSE corp-actions BANKBARODA fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:55:04,596 | WARNING | NSE corp-actions BEL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:55:25,233 | WARNING | NSE corp-actions BHARTIARTL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:55:45,634 | WARNING | NSE corp-actions BOSCHLTD fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:56:06,180 | WARNING | NSE corp-actions BPCL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:56:26,529 | WARNING | NSE corp-actions BRITANNIA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:56:46,832 | WARNING | NSE corp-actions CANBK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:57:06,910 | WARNING | NSE corp-actions CANBK fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:57:26,982 | WARNING | NSE corp-actions CGPOWER fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:57:47,457 | WARNING | NSE corp-actions CHOLAFIN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:58:07,516 | WARNING | NSE corp-actions CHOLAFIN fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:58:27,576 | ERROR | NSE corp-actions CHOLAFIN fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-20 12:58:42,640 | WARNING | NSE corp-actions CIPLA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:59:03,025 | WARNING | NSE corp-actions COALINDIA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:59:23,084 | WARNING | NSE corp-actions COALINDIA fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 12:59:43,445 | WARNING | NSE corp-actions CUMMINSIND fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:00:03,545 | WARNING | NSE corp-actions CUMMINSIND fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:00:23,604 | ERROR | NSE corp-actions CUMMINSIND fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-20 13:00:38,657 | WARNING | NSE corp-actions DIVISLAB fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:00:58,727 | WARNING | NSE corp-actions DIVISLAB fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:01:18,799 | ERROR | NSE corp-actions DIVISLAB fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-20 13:01:33,860 | WARNING | NSE corp-actions DLF fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:01:54,196 | WARNING | NSE corp-actions DMART fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:02:14,885 | WARNING | NSE corp-actions DRREDDY fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:02:35,385 | WARNING | NSE corp-actions EICHERMOT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:02:55,467 | WARNING | NSE corp-actions EICHERMOT fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:03:15,821 | WARNING | NSE corp-actions ENRIN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:03:36,149 | WARNING | NSE corp-actions ETERNAL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:03:56,225 | WARNING | NSE corp-actions ETERNAL fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:04:16,393 | WARNING | NSE corp-actions GAIL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:04:36,722 | WARNING | NSE corp-actions GODREJCP fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:04:57,132 | WARNING | NSE corp-actions GRASIM fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:05:17,498 | WARNING | NSE corp-actions HAL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:05:37,783 | WARNING | NSE corp-actions HCLTECH fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:05:58,357 | WARNING | NSE corp-actions HDFCAMC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:06:18,686 | WARNING | NSE corp-actions HDFCBANK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:06:39,014 | WARNING | NSE corp-actions HDFCLIFE fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:06:59,337 | WARNING | NSE corp-actions HINDALCO fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:07:19,632 | WARNING | NSE corp-actions HINDUNILVR fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:07:39,735 | WARNING | NSE corp-actions HINDUNILVR fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:07:59,975 | WARNING | NSE corp-actions HINDZINC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:08:20,028 | WARNING | NSE corp-actions HINDZINC fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:08:40,471 | WARNING | NSE corp-actions HYUNDAI fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:09:00,848 | WARNING | NSE corp-actions ICICIBANK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:09:21,146 | WARNING | NSE corp-actions INDHOTEL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:09:41,647 | WARNING | NSE corp-actions INDIGO fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:10:02,069 | WARNING | NSE corp-actions INFY fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:10:22,128 | WARNING | NSE corp-actions INFY fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:10:42,249 | WARNING | NSE corp-actions IOC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:11:02,548 | WARNING | NSE corp-actions IRFC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:11:22,625 | WARNING | NSE corp-actions IRFC fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:11:42,753 | WARNING | NSE corp-actions ITC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:12:03,085 | WARNING | NSE corp-actions JINDALSTEL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:12:23,489 | WARNING | NSE corp-actions JIOFIN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:12:43,788 | WARNING | NSE corp-actions JSWSTEEL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:13:04,101 | WARNING | NSE corp-actions KOTAKBANK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:13:24,419 | WARNING | NSE corp-actions LODHA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:13:44,711 | WARNING | NSE corp-actions LT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:14:04,785 | WARNING | NSE corp-actions LT fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:14:24,912 | WARNING | NSE corp-actions LTM fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:14:45,210 | WARNING | NSE corp-actions M&M fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:15:05,565 | WARNING | NSE corp-actions MARUTI fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-20 13:15:25,616 | WARNING | NSE corp-actions MARUTI fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
