2026-07-18 12:46:07,386 | INFO | Nifty 100 Daily EMA Cross Reporter | Version 3.3.8 | Released 2026-04-17
2026-07-18 12:46:07,386 | INFO | Base directory: /home/runner/work/nifty100-reporter/nifty100-reporter
2026-07-18 12:46:07,387 | INFO | Loaded config. Email enabled: True | Recipients: 1
2026-07-18 12:46:07,666 | WARNING | NSE session bootstrap HTTP 403 (attempt 1/5) — refreshing NSE session cookie …
2026-07-18 12:46:18,651 | INFO | NSE session bootstrap status: 200
2026-07-18 12:46:18,651 | INFO | Downloading Nifty 100 universe from https://www.niftyindices.com/IndexConstituent/ind_nifty100list.csv
2026-07-18 12:46:19,186 | INFO | Universe download status: 200
2026-07-18 12:46:19,190 | INFO | Universe rows loaded: 100
2026-07-18 12:46:19,284 | INFO | Loaded history rows: 131754
2026-07-18 12:46:19,291 | INFO | yfinance history update: 100 symbols | 2026-07-16 → 2026-07-19
2026-07-18 12:46:19,291 | INFO | yfinance batch download: 100 symbols | 2026-07-16 → 2026-07-19
2026-07-18 12:46:19,293 | INFO | Failed to create TzCache, reason: Error creating TzCache folder: '/home/runner/.cache/py-yfinance' reason: [Errno 17] File exists: '/home/runner/.cache/py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2026-07-18 12:46:29,351 | INFO | yfinance raw shape: (2, 500)
2026-07-18 12:46:29,538 | INFO | yfinance parsed rows after date-filter: 200
2026-07-18 12:46:29,540 | INFO | New rows from yfinance: 200
2026-07-18 12:46:30,100 | INFO | Saved history rows: 131754 | file: /home/runner/work/nifty100-reporter/nifty100-reporter/data/nifty100_ohlcv_history.csv
2026-07-18 12:46:30,180 | INFO | Loaded history rows: 131754
2026-07-18 12:46:30,181 | INFO | Latest OHLCV data is from 2026-07-17
2026-07-18 12:46:30,202 | INFO | Latest Delivery data is from 2026-07-17
2026-07-18 12:46:30,239 | INFO | Delivery cache has 33 dates — skipping backfill.
2026-07-18 12:46:30,239 | INFO | Delivery fetch attempt [1/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_17072026.csv
