Date,Symbol,Open,High,Low,Close,Volume
2020-10-27,ABB,867.5429488176708,916.603955428342,864.9505299231728,909.3646240234376,239401
2020-10-28,ABB,913.5222030182128,916.8483947441208,883.2442808674189,887.3530883789062,50003
2020-10-29,ABB,880.4563403504263,880.4563403504263,862.8472135434178,867.54296875,156213
2020-10-30,ABB,869.0103899660423,889.2608975958213,864.6570105936145,874.2931518554688,47972
2020-11-02,ABB,868.7169255540492,880.8476812812784,849.7381760442994,856.6351318359375,86892
2020-11-03,ABB,860.9394646068165,873.3636926185028,855.9991386627722,858.3470458984375,58871
2020-11-04,ABB,865.6841864830078,869.6462277205405,852.3305759571348,859.7166137695312,25456
2020-11-05,ABB,873.3637758012865,885.3477648839701,861.868929130141,874.7333984375,70353
2020-11-06,ABB,894.1522469411484,921.2996483116264,885.4454889240094,917.4843139648438,251858
2020-11-09,ABB,914.7940741585008,934.0173939749628,914.7940741585008,928.6857299804688,121810
2020-11-10,ABB,931.9140163957602,948.9361947000576,919.587652595932,928.1476440429688,107797
2020-11-11,ABB,926.3868032651294,937.9305519627172,915.674572763602,923.7454223632812,41822
2020-11-12,ABB,928.7836182623143,954.3657301012908,928.7836182623143,946.6862182617188,173796
2020-11-13,ABB,946.6862000445856,984.1544954337588,937.783772659634,978.5293579101562,222825
2020-11-14,ABB,984.1544631635836,988.0676021821268,950.9416838017468,964.7355346679688,36544
2020-11-17,ABB,975.3498941875104,984.6925015930912,958.7190534641528,961.5071411132812,94002
2020-11-18,ABB,959.0614261335136,1066.232567744755,959.0614261335136,1055.471435546875,695220
2020-11-19,ABB,1054.590947316066,1066.2814021646082,1010.9105098907304,1021.8673706054688,190460
2020-11-20,ABB,1026.2207744948364,1110.3532688766818,1021.3293504028686,1091.8148193359375,249798
2020-11-23,ABB,1104.483472743642,1137.745153942299,1027.1989781938214,1049.4549560546875,176903
2020-11-24,ABB,1051.558286938301,1064.2270265056434,1028.2750624464293,1049.0147705078125,267122
2020-11-25,ABB,1054.2974987438922,1061.4390256705951,989.5350916735548,1003.2310791015624,141568
2020-11-26,ABB,1011.4974761752916,1062.8085833033997,1007.9268323498288,1053.563720703125,292405
2020-11-27,ABB,1068.2869238394935,1080.8578587205502,1037.9600972469805,1050.4332275390625,253387
2020-12-01,ABB,1057.6727245096574,1120.1361903681106,1050.531197100193,1113.337158203125,280795
2020-12-02,ABB,1117.2010676743926,1173.941577241043,1091.81462883436,1164.94140625,294829
2020-12-03,ABB,1156.4795425842062,1212.046054413574,1144.593356916929,1146.5499267578125,295720
2020-12-04,ABB,1158.2889730993795,1171.6425818505163,1125.0272965069987,1129.380615234375,162427
2020-12-07,ABB,1148.5062444577147,1148.5062444577147,1115.244564464902,1129.869873046875,155809
2020-12-08,ABB,1139.701969488343,1164.1590932971055,1123.0711252983842,1129.7235107421875,225515
2020-12-09,ABB,1137.696223368085,1151.4411721285949,1126.984052924504,1130.065673828125,111606
2020-12-10,ABB,1141.902810445502,1161.028324004022,1119.3533004538615,1133.6363525390625,310277
2020-12-11,ABB,1141.8540058654955,1157.702291764012,1126.9841242165633,1150.6585693359375,168483
2020-12-14,ABB,1154.3761281176987,1154.3761281176987,1129.9190067592729,1136.1800537109375,119428
2020-12-15,ABB,1133.8321294441298,1141.2182277531897,1126.152617334822,1129.2830810546875,56631
2020-12-16,ABB,1134.125600151544,1180.545165478365,1132.5114063707751,1168.9525146484375,323251
2020-12-17,ABB,1177.8058330417714,1212.8774355561025,1169.7839461589392,1205.9315185546875,402509
2020-12-18,ABB,1217.377637776555,1232.638856882624,1174.969015274857,1219.8721923828125,378273
2020-12-21,ABB,1217.4754138266796,1227.6495994653444,1155.3543300356037,1188.9095458984375,145777
2020-12-22,ABB,1187.6377936639574,1198.3989268849652,1132.0711670822116,1159.9034423828125,327649
2020-12-23,ABB,1171.006904748159,1209.9915301158935,1164.4034823529628,1174.9200439453125,171273
2020-12-24,ABB,1191.550922910408,1203.2903408701163,1173.941795970845,1180.349609375,246220
2020-12-28,ABB,1194.8281283984388,1201.3337462666068,1185.681189311993,1191.1107177734375,169125
2020-12-29,ABB,1196.63787963554,1201.2358896937276,1164.1588731278512,1176.925537109375,154970
2020-12-30,ABB,1179.517854702971,1212.975264220241,1175.1645354093262,1182.6484375,197431
2020-12-31,ABB,1187.637587804914,1191.452921896757,1176.0937809464176,1185.72998046875,296434
2021-01-01,ABB,1185.681072753196,1211.6056176607535,1185.681072753196,1205.9315185546875,95451
2021-01-04,ABB,1212.1926053466425,1261.9873228209233,1208.1816617704187,1235.475830078125,99581
2021-01-05,ABB,1232.149430777327,1276.661379249235,1198.398612705221,1265.5089111328125,150290
2021-01-06,ABB,1266.878713013091,1287.4226921430331,1262.9655741311974,1269.47119140625,108081
2021-01-07,ABB,1273.7268839277356,1288.303352182245,1263.2103217140464,1274.36279296875,109031
2021-01-08,ABB,1279.1562843215104,1301.118729391932,1271.770186623693,1286.4444580078125,285838
2021-01-11,ABB,1285.4663182798147,1285.4663182798147,1260.0309116776266,1268.7376708984375,92160
2021-01-12,ABB,1260.0306925126556,1272.7483936016808,1237.5301444320726,1241.73681640625,162360
2021-01-13,ABB,1250.0522824982002,1265.9004474417952,1237.5301901189112,1252.693603515625,159570
2021-01-14,ABB,1256.1666686692888,1270.4496031321455,1237.6280997113245,1246.7261962890625,45754
2021-01-15,ABB,1251.6175450522455,1264.922193896095,1232.6387968361018,1256.7535400390625,94356
2021-01-18,ABB,1262.9655994147165,1320.097452118001,1258.7589272646578,1315.3038330078125,370993
2021-01-19,ABB,1314.814858490566,1388.1862233616912,1313.8365736256176,1361.038818359375,715853
2021-01-20,ABB,1361.772421362086,1377.6695491258315,1343.1850104383218,1362.8485107421875,330542
2021-01-21,ABB,1373.0227380211477,1378.1587333005284,1342.2067663448624,1347.3917236328125,69623
2021-01-22,ABB,1350.0329014426509,1374.490019222409,1337.3152001971766,1347.9295654296875,223509
2021-01-25,ABB,1361.185447582665,1361.185447582665,1320.4398631862873,1325.3802490234375,100682
2021-01-27,ABB,1320.7335507233277,1369.5010281336918,1316.7714491893769,1358.64208984375,184995
2021-01-28,ABB,1344.1632687667782,1388.6262636230213,1315.7440485406887,1325.3802490234375,235173
2021-01-29,ABB,1335.750206343101,1374.490263919119,1334.674116853122,1358.1529541015625,166513
2021-02-01,ABB,1358.1527420974512,1368.180160607052,1327.6791487916864,1352.9188232421875,62919
2021-02-02,ABB,1359.7181305323477,1474.6176378590428,1359.7181305323477,1414.012939453125,415804
2021-02-03,ABB,1425.0673222533842,1433.1871333020172,1390.1426050663251,1416.0181884765625,321671
2021-02-04,ABB,1416.5563109155405,1500.6887989947784,1411.6648871900034,1485.085205078125,282242
2021-02-05,ABB,1485.0362395258974,1490.759181387201,1449.4266510051395,1462.8292236328125,79091
2021-02-08,ABB,1463.5142379812282,1472.074231017549,1443.0192167077987,1449.769287109375,90255
2021-02-09,ABB,1461.263907049144,1466.4488640761967,1407.9473873078812,1426.97509765625,244781
2021-02-10,ABB,1430.2521771599263,1455.149474062928,1399.044872529511,1413.621337890625,356376
2021-02-11,ABB,1413.621416331256,1428.2956870890198,1374.4900276438857,1392.4415283203125,299192
2021-02-12,ABB,1397.9688946846547,1447.8614164683618,1394.6427026818362,1434.9969482421875,224960
2021-02-15,ABB,1442.9700679938626,1471.095755759845,1433.1872200752605,1442.1385498046875,139523
2021-02-16,ABB,1448.644098058338,1482.1013885670925,1441.9917140250125,1467.916259765625,170927
2021-02-17,ABB,1447.8615743214773,1472.0741242974616,1447.8615743214773,1466.4000244140625,93001
2021-02-18,ABB,1477.014449620087,1535.9071472433898,1469.383780356415,1499.5638427734375,310358
2021-02-19,ABB,1508.5150152664107,1599.495492840844,1477.2099047031647,1488.5579833984375,425564
2021-02-22,ABB,1488.5581708903203,1496.7268253228992,1398.9473044999638,1424.7740478515625,161553
2021-02-23,ABB,1445.1222050892943,1484.5471288320182,1431.2795712193324,1447.8614501953125,86666
2021-02-24,ABB,1462.1932914048562,1565.25556353228,1453.633300041789,1536.689697265625,216975
2021-02-25,ABB,1550.3856035456993,1556.2553116064437,1478.530522383713,1504.5040283203125,184689
2021-02-26,ABB,1487.971303671615,1530.0375535453031,1467.427321175163,1494.966064453125,139972
2021-03-01,ABB,1513.4064890313591,1525.977424025317,1482.1013774289008,1492.079833984375,61354
2021-03-02,ABB,1493.2539532478118,1515.3631660014998,1476.2317737225717,1487.97119140625,56964
2021-03-03,ABB,1499.5636367019997,1516.7325804761224,1477.2098558141454,1499.4168701171875,154956
2021-03-04,ABB,1488.9496363147227,1513.3089545115336,1473.297077720087,1479.949462890625,201501
2021-03-05,ABB,1481.8566386909729,1494.8189099982217,1452.7526710388477,1456.51904296875,63126
2021-03-08,ABB,1471.3403230524907,1479.7047057685068,1444.7310245523322,1463.02490234375,96026
2021-03-09,ABB,1475.2534831110638,1476.867676920125,1432.698094175168,1444.3885498046875,54450
2021-03-10,ABB,1445.9047570998507,1490.8080477976127,1419.4910707387571,1434.409912109375,131725
2021-03-12,ABB,1441.013550211509,1449.084400034486,1423.404423325014,1439.15478515625,61753
2021-03-15,ABB,1439.057039084339,1444.8289436824532,1408.9258174186325,1416.214111328125,49333
2021-03-16,ABB,1422.4260508983368,1437.1003224000392,1394.985115422343,1410.735595703125,87214
2021-03-17,ABB,1416.458518256504,1418.5128923546297,1394.2513827037883,1408.4854736328125,47127
2021-03-18,ABB,1423.257582123462,1435.6818704272694,1385.3980090695495,1396.305908203125,45465
2021-03-19,ABB,1391.1209942723608,1401.8821271394463,1304.053646529576,1383.14794921875,157876
2021-03-22,ABB,1383.294747591977,1396.9907351918978,1354.9244875635702,1358.4462890625,77105
2021-03-23,ABB,1365.4899558151926,1389.164399933573,1354.924432329576,1367.0062255859375,68727
2021-03-24,ABB,1359.8158403005082,1371.408491026359,1338.2935752022267,1345.728515625,62821
2021-03-25,ABB,1345.1417086615493,1374.4902550323466,1301.314498313342,1361.43017578125,88150
2021-03-26,ABB,1367.6420744536922,1465.7640822127075,1345.435058494679,1421.98583984375,175036
2021-03-30,ABB,1421.9855846172447,1449.377552579671,1399.9741817902952,1408.0938720703125,135595
2021-03-31,ABB,1406.4309299034865,1406.7733056419588,1366.663635592362,1379.4302978515625,180576
2021-04-01,ABB,1383.098919986612,1393.7621273985062,1360.8917862332144,1367.15283203125,80643
2021-04-05,ABB,1359.8158497470013,1369.5986975869075,1335.5054967487397,1352.1851806640625,88800
2021-04-06,ABB,1353.946183372006,1365.245420748162,1330.4673478222023,1344.603515625,100694
2021-04-07,ABB,1345.1417236328125,1359.718192376451,1337.0708732910157,1345.1417236328125,37217
2021-04-08,ABB,1347.929458692032,1374.9790526983893,1345.3369805287628,1365.9788818359375,47375
2021-04-09,ABB,1366.0279106738865,1377.375990088488,1345.141554779936,1350.42431640625,83100
2021-04-12,ABB,1348.0763586213277,1348.0763586213277,1270.351684551354,1281.014892578125,69205
2021-04-13,ABB,1286.4444939451885,1306.0101896705903,1277.493164266911,1290.944580078125,169333
2021-04-15,ABB,1287.9118071472626,1334.3313683799392,1280.6236339023492,1320.146240234375,426291
2021-04-16,ABB,1322.543209697027,1345.0926020833251,1316.0865540733014,1341.57080078125,142921
2021-04-19,ABB,1332.3903498176448,1386.392906368839,1290.6119603977013,1369.8485107421875,177488
2021-04-20,ABB,1369.7011022632346,1392.2839878202628,1356.0531604987707,1370.0938720703125,173676
2021-04-22,ABB,1369.7012099666354,1374.610533299849,1343.5836338052436,1366.4119873046875,93857
2021-04-23,ABB,1361.846440545558,1368.3267240779276,1344.1728746264375,1355.66064453125,155372
2021-04-26,ABB,1356.88793407397,1377.5070936834695,1335.4342134039643,1344.27099609375,189659
2021-04-27,ABB,1353.009446329756,1376.4760347185356,1350.260177451209,1359.2442626953125,444609
2021-04-28,ABB,1382.5635985836716,1410.2031126302006,1337.2996618989264,1362.72998046875,474157
2021-04-29,ABB,1379.5196529396117,1379.5196529396117,1352.027446332986,1356.24951171875,110440
2021-04-30,ABB,1350.063907398897,1374.021429072408,1335.3359375,1356.2005615234375,167258
2021-05-03,ABB,1360.471657399923,1373.6286678971917,1327.5301697656255,1366.755615234375,163384
2021-05-04,ABB,1366.7557851023612,1374.2179335209796,1340.343598329865,1352.4696044921875,95411
2021-05-05,ABB,1353.1075678641953,1362.3862601560502,1338.2814365225925,1345.792724609375,51196
2021-05-06,ABB,1349.769473789498,1359.8827290310458,1349.2295200709557,1355.5625,27868
2021-05-07,ABB,1359.882472786314,1369.1610453258943,1343.190774564388,1347.069091796875,160890
2021-05-10,ABB,1359.9807736097782,1371.664987524926,1342.454512665322,1350.4075927734375,136672
2021-05-11,ABB,1344.172938459921,1359.8827755785176,1337.987142151855,1344.025634765625,66321
2021-05-12,ABB,1355.955199351466,1407.9940303186113,1346.2347145013905,1376.4761962890625,603531
2021-05-14,ABB,1388.3566743901265,1398.126180132226,1353.255011653601,1366.559326171875,107932
2021-05-17,ABB,1365.77389802921,1399.1573002815414,1356.9371150800634,1394.984375,112679
2021-05-18,ABB,1385.2146549563497,1443.3409925646436,1385.2146549563497,1423.556396484375,327604
2021-05-19,ABB,1421.7400920771463,1454.9271670309522,1414.8670391458345,1423.900146484375,161989
2021-05-20,ABB,1421.7400406681825,1433.3260917046364,1390.3695124372102,1403.330078125,109513
2021-05-21,ABB,1406.0302023304178,1417.5179709850595,1398.9116834987867,1407.1102294921875,141945
2021-05-24,ABB,1410.2031094098122,1456.3507481511604,1407.110211778183,1448.9376220703125,234226
2021-05-25,ABB,1454.1415378990096,1489.832293740419,1439.4135682376425,1468.52587890625,131448
2021-05-26,ABB,1463.4693504600637,1491.8452645543462,1456.0562239559122,1474.12255859375,100456
2021-05-27,ABB,1477.7062912917277,1570.9834326025011,1465.4329832245207,1550.6097412109375,247167
2021-05-28,ABB,1536.618334250221,1570.9836005114082,1495.4781772405213,1559.9376220703125,181421
2021-05-31,ABB,1570.9834799661976,1698.6258877134512,1570.9834799661976,1638.5848388671875,1174066
2021-06-01,ABB,1654.441853366538,1722.190510863447,1621.058456918786,1662.542236328125,717658
2021-06-02,ABB,1667.206158163726,1685.8615863175014,1637.7502189735542,1669.7099609375,314707
2021-06-03,ABB,1679.9704389192443,1686.3034180549678,1650.5144990200176,1661.265869140625,146129
2021-06-04,ABB,1661.2658693087317,1668.13892195258,1610.2580479873525,1620.567626953125,194307
2021-06-07,ABB,1628.913482843786,1667.206204863622,1607.31246016593,1655.0802001953125,269594
2021-06-08,ABB,1656.4548037264287,1666.8134038575151,1630.9753441757575,1649.778076171875,128082
2021-06-09,ABB,1661.4623815270895,1689.7891542437153,1634.8047308633272,1644.47607421875,224477
2021-06-10,ABB,1649.532704451069,1659.3513515013733,1629.8954103504614,1641.03955078125,87950
2021-06-11,ABB,1653.5582938479308,1718.3123418085074,1615.1674085936963,1618.653076171875,124172
2021-06-14,ABB,1628.913537521405,1641.9723859757923,1571.9653849136646,1630.4844970703125,124292
2021-06-15,ABB,1630.4845710639595,1667.2063364867413,1630.4355497406466,1663.229736328125,103988
2021-06-16,ABB,1668.1879210779937,1696.661993892156,1643.3958404380764,1689.1016845703125,207324
2021-06-17,ABB,1693.9620435110794,1744.4789334839263,1661.609650164782,1685.3707275390625,416009
